iter	RMSE
0	0.8166067803
1	0.5876116293
2	0.4305023883
3	0.3240496734
4	0.2534870387
5	0.2074583439
6	0.1786413171
7	0.1598479004
8	0.1483575805
9	0.1399406898
10	0.1334760069
11	0.1300415536
12	0.1269668478
13	0.1242170521
14	0.1217509244
15	0.1194343957
16	0.1171257852
17	0.1148516295
18	0.1138115341
19	0.112453959
20	0.1098554953
21	0.1082280756
22	0.1075555423
23	0.106104859
24	0.1050170806
25	0.1041470045
26	0.1034312857
27	0.1027662484
28	0.1015863019
29	0.09971637159
30	0.09827111047
31	0.09765784903
32	0.09717560564
33	0.09629471181
34	0.09521814746
35	0.09447603035
36	0.09327347054
37	0.09233651006
38	0.09185111179
39	0.09100240051
40	0.09077899793
41	0.08974539876
42	0.08857829898
43	0.08816077567
44	0.08763329238
45	0.08654976479
46	0.08594249323
47	0.08496385605
48	0.08423630073
49	0.08316218169
50	0.08238057936
51	0.0818758841
52	0.08148855822
53	0.0800427442
54	0.07971831621
55	0.07908812018
56	0.07832304009
57	0.07780201573
58	0.07752248073
59	0.07713143948
60	0.07663580653
61	0.07587537255
62	0.07538173993
63	0.07436297041
64	0.07381887155
65	0.07357149472
66	0.07313576323
67	0.07265180781
68	0.07212999672
69	0.07164991352
70	0.07129458441
71	0.07093805725
72	0.07051685979
73	0.06986514591
74	0.06943109509
75	0.06901753826
76	0.06857333792
77	0.06818263525
78	0.06769802144
79	0.06746444043
80	0.06723772123
81	0.06633008661
82	0.06598135915
83	0.06532459645
84	0.06496437703
85	0.06463589487
86	0.06434493467
87	0.0641427536
88	0.06391343614
89	0.06358472568
90	0.0631844599
91	0.0626248511
92	0.06234022353
93	0.06191908771
94	0.0614168809
95	0.06105879998
96	0.06072816487
97	0.06056148327
98	0.06011085527
99	0.05971471976
100	0.0595033473
101	0.05920041063
102	0.05862967032
103	0.05823749031
104	0.0579790083
105	0.05770937135
106	0.05740950591
107	0.05717899764
108	0.05699176322
109	0.056523748
110	0.0562120794
111	0.05591089627
112	0.05566164819
113	0.05556819744
114	0.05534519475
115	0.05510149354
116	0.0548216225
117	0.0546375259
118	0.05454308147
119	0.05416341734
120	0.05394169095
121	0.05367202045
122	0.05347739588
123	0.05329002265
124	0.0530373276
125	0.05266109427
126	0.05253315285
127	0.05240619045
128	0.05220500479
129	0.05195676745
130	0.05180095495
131	0.05165508479
132	0.05139447805
133	0.05133881544
134	0.05109793189
135	0.05086563011
136	0.05066458074
137	0.05046936041
138	0.05030153243
139	0.05006586275
140	0.04973105635
141	0.04957195513
142	0.04933845367
143	0.04914047127
144	0.04868329885
145	0.04849954215
146	0.04833455656
147	0.04816749656
148	0.04797978176
149	0.04776538795
150	0.04759949546
151	0.04736494292
152	0.04719916885
153	0.04684064134
154	0.04660375349
155	0.04647507786
156	0.046311305
157	0.0461597179
158	0.04599105439
159	0.04588641054
160	0.04569482994
161	0.04548174968
162	0.04530901304
163	0.04510885538
164	0.04500402576
165	0.0447474823
166	0.04461836538
167	0.04444022893
168	0.04436416526
169	0.04407685179
170	0.04391319746
171	0.04380628503
